S-14-4-4-31-NR,0.017388582229614258,2268,[[[1, 8, 12, 1], [12, 2, 11, 1], [11, 13, 3, 4], [3, 7, 3, 9]], [[11, 1, 12, 8], [12, 1, 9, 7], [9, 4, 4, 10], [4, 9, 1, 2]], [[3, 8, 2, 1], [2, 7, 13, 7], [13, 10, 6, 4], [6, 2, 2, 4]], [[9, 1, 6, 4], [6, 7, 7, 12], [7, 4, 6, 13], [6, 4, 3, 3]]]
S-14-4-4-32-NR,0.016211986541748047,1159,[[[2, 4, 9, 12], [9, 3, 8, 6], [8, 5, 10, 1], [10, 12, 4, 9]], [[8, 12, 13, 13], [13, 6, 3, 9], [3, 1, 1, 8], [1, 9, 1, 12]], [[12, 13, 13, 14], [13, 9, 4, 14], [4, 8, 5, 4], [5, 12, 1, 8]], [[2, 14, 2, 6], [2, 14, 6, 9], [6, 4, 2, 6], [2, 8, 14, 1]]]
S-14-4-4-33-NR,0.047306060791015625,3647,[[[10, 3, 11, 9], [11, 11, 8, 8], [8, 4, 5, 11], [5, 14, 14, 11]], [[5, 9, 2, 5], [2, 8, 7, 5], [7, 11, 9, 8], [9, 11, 8, 1]], [[11, 5, 12, 10], [12, 5, 14, 12], [14, 8, 11, 7], [11, 1, 9, 14]], [[9, 10, 14, 3], [14, 12, 5, 11], [5, 7, 6, 10], [6, 14, 9, 6]]]
S-14-4-4-34-NR,0.0015347003936767578,137,[[[9, 6, 14, 3], [14, 10, 2, 5], [2, 1, 6, 10], [6, 14, 4, 1]], [[1, 3, 13, 3], [13, 5, 13, 9], [13, 10, 2, 13], [2, 1, 7, 1]], [[6, 3, 6, 5], [6, 9, 12, 9], [12, 13, 12, 14], [12, 1, 2, 1]], [[7, 5, 13, 5], [13, 9, 7, 6], [7, 14, 3, 2], [3, 1, 10, 9]]]
S-14-4-4-35-NR,0.033432960510253906,2532,[[[9, 6, 14, 13], [14, 13, 5, 11], [5, 3, 6, 13], [6, 12, 6, 12]], [[14, 13, 10, 13], [10, 11, 2, 6], [2, 13, 1, 9], [1, 12, 3, 1]], [[5, 13, 2, 12], [2, 6, 8, 6], [8, 9, 12, 1], [12, 1, 7, 6]], [[5, 12, 11, 10], [11, 6, 8, 1], [8, 1, 1, 12], [1, 6, 9, 13]]]
S-14-4-4-36-NR,0.016309261322021484,1123,[[[6, 1, 6, 9], [6, 1, 5, 9], [5, 13, 2, 10], [2, 13, 5, 7]], [[2, 9, 14, 8], [14, 9, 7, 6], [7, 10, 13, 13], [13, 7, 1, 7]], [[9, 8, 4, 7], [4, 6, 3, 2], [3, 13, 9, 8], [9, 7, 11, 12]], [[3, 7, 13, 4], [13, 2, 4, 5], [4, 8, 9, 12], [9, 12, 11, 7]]]
S-14-4-4-37-NR,0.030114412307739258,2194,[[[11, 10, 2, 11], [2, 2, 8, 10], [8, 10, 13, 5], [13, 11, 14, 7]], [[12, 11, 12, 7], [12, 10, 8, 3], [8, 5, 13, 14], [13, 7, 14, 1]], [[11, 7, 2, 7], [2, 3, 2, 9], [2, 14, 5, 6], [5, 1, 9, 11]], [[1, 7, 12, 11], [12, 9, 7, 6], [7, 6, 14, 8], [14, 11, 9, 13]]]
S-14-4-4-38-NR,0.05898284912109375,5825,[[[11, 7, 6, 6], [6, 7, 5, 12], [5, 13, 6, 10], [6, 12, 2, 12]], [[2, 6, 5, 8], [5, 12, 13, 10], [13, 10, 7, 4], [7, 12, 6, 10]], [[12, 8, 2, 9], [2, 10, 8, 3], [8, 4, 7, 9], [7, 10, 8, 4]], [[6, 9, 1, 1], [1, 3, 7, 10], [7, 9, 6, 11], [6, 4, 3, 10]]]
S-14-4-4-39-NR,0.018156051635742188,1226,[[[4, 5, 3, 14], [3, 7, 1, 5], [1, 1, 11, 14], [11, 4, 4, 2]], [[7, 14, 6, 1], [6, 5, 2, 7], [2, 14, 6, 7], [6, 2, 12, 13]], [[10, 1, 13, 2], [13, 7, 14, 7], [14, 7, 9, 10], [9, 13, 1, 5]], [[11, 2, 5, 13], [5, 7, 12, 5], [12, 10, 2, 11], [2, 5, 6, 12]]]
S-14-4-4-40-NR,0.044358015060424805,3208,[[[8, 10, 14, 1], [14, 9, 9, 12], [9, 1, 3, 1], [3, 4, 5, 11]], [[11, 1, 4, 10], [4, 12, 12, 8], [12, 1, 14, 1], [14, 11, 11, 3]], [[11, 10, 13, 10], [13, 8, 6, 2], [6, 1, 5, 6], [5, 3, 4, 3]], [[3, 10, 13, 13], [13, 2, 9, 6], [9, 6, 11, 5], [11, 3, 12, 8]]]
