S-14-5-5-118-NR,0.5878453254699707,80873,[[[12, 11, 9, 3], [9, 3, 14, 10], [14, 5, 11, 12], [11, 2, 9, 14], [9, 12, 6, 1]], [[5, 3, 4, 10], [4, 10, 3, 13], [3, 12, 14, 7], [14, 14, 5, 13], [5, 1, 13, 13]], [[1, 10, 2, 10], [2, 13, 14, 1], [14, 7, 9, 14], [9, 13, 14, 11], [14, 13, 5, 6]], [[6, 10, 6, 13], [6, 1, 10, 8], [10, 14, 7, 2], [7, 11, 8, 4], [8, 6, 1, 5]], [[10, 13, 14, 8], [14, 8, 14, 9], [14, 2, 11, 10], [11, 4, 11, 6], [11, 5, 10, 13]]]
S-14-5-5-10-NR,0.0986783504486084,13492,[[[10, 1, 4, 12], [4, 7, 6, 1], [6, 8, 7, 14], [7, 10, 3, 10], [3, 1, 4, 6]], [[8, 12, 7, 7], [7, 1, 5, 14], [5, 14, 11, 5], [11, 10, 8, 3], [8, 6, 14, 11]], [[8, 7, 5, 11], [5, 14, 6, 3], [6, 5, 8, 13], [8, 3, 14, 4], [14, 11, 14, 8]], [[5, 11, 10, 7], [10, 3, 1, 10], [1, 13, 1, 4], [1, 4, 3, 4], [3, 8, 11, 5]], [[13, 7, 9, 3], [9, 10, 6, 1], [6, 4, 13, 9], [13, 4, 4, 8], [4, 5, 6, 2]]]
S-14-5-5-119-NR,0.08674931526184082,10723,[[[5, 3, 8, 10], [8, 12, 1, 7], [1, 13, 12, 5], [12, 9, 7, 12], [7, 11, 13, 12]], [[9, 10, 1, 11], [1, 7, 11, 6], [11, 5, 4, 3], [4, 12, 8, 1], [8, 12, 13, 13]], [[7, 11, 9, 9], [9, 6, 12, 8], [12, 3, 7, 2], [7, 1, 1, 4], [1, 13, 2, 4]], [[2, 9, 8, 7], [8, 8, 8, 9], [8, 2, 10, 10], [10, 4, 9, 3], [9, 4, 7, 13]], [[11, 7, 2, 4], [2, 9, 1, 3], [1, 10, 3, 5], [3, 3, 12, 13], [12, 13, 5, 4]]]
S-14-5-5-120-NR,0.004015684127807617,349,[[[9, 4, 2, 12], [2, 4, 11, 6], [11, 11, 5, 3], [5, 12, 5, 5], [5, 10, 11, 5]], [[8, 12, 4, 4], [4, 6, 9, 9], [9, 3, 12, 2], [12, 5, 7, 4], [7, 5, 2, 4]], [[6, 4, 12, 1], [12, 9, 2, 1], [2, 2, 14, 8], [14, 4, 7, 7], [7, 4, 13, 13]], [[4, 1, 12, 10], [12, 1, 7, 7], [7, 8, 14, 9], [14, 7, 14, 13], [14, 13, 4, 12]], [[14, 10, 7, 5], [7, 7, 2, 12], [2, 9, 1, 6], [1, 13, 1, 6], [1, 12, 12, 3]]]
S-14-5-5-121-NR,0.38393306732177734,50617,[[[2, 4, 14, 13], [14, 10, 14, 10], [14, 14, 7, 13], [7, 7, 3, 1], [3, 11, 3, 8]], [[10, 13, 7, 14], [7, 10, 13, 6], [13, 13, 8, 10], [8, 1, 4, 3], [4, 8, 13, 6]], [[9, 14, 3, 7], [3, 6, 13, 2], [13, 10, 6, 4], [6, 3, 11, 7], [11, 6, 3, 9]], [[6, 7, 8, 3], [8, 2, 11, 6], [11, 4, 2, 7], [2, 7, 1, 3], [1, 9, 5, 6]], [[3, 3, 8, 14], [8, 6, 6, 11], [6, 7, 6, 7], [6, 3, 12, 1], [12, 6, 11, 12]]]
S-14-5-5-122-NR,0.17065715789794922,19466,[[[9, 4, 4, 9], [4, 10, 7, 7], [7, 14, 12, 11], [12, 5, 3, 13], [3, 2, 12, 6]], [[6, 9, 5, 13], [5, 7, 13, 8], [13, 11, 2, 7], [2, 13, 13, 2], [13, 6, 13, 9]], [[4, 13, 11, 8], [11, 8, 10, 2], [10, 7, 9, 10], [9, 2, 8, 5], [8, 9, 8, 6]], [[14, 8, 10, 1], [10, 2, 9, 14], [9, 10, 14, 6], [14, 5, 7, 7], [7, 6, 11, 3]], [[12, 1, 11, 10], [11, 14, 6, 3], [6, 6, 7, 2], [7, 7, 2, 5], [2, 3, 8, 12]]]
S-14-5-5-123-NR,0.2617654800415039,30299,[[[1, 5, 9, 6], [9, 2, 12, 4], [12, 13, 3, 1], [3, 7, 7, 13], [7, 5, 2, 2]], [[14, 6, 10, 7], [10, 4, 2, 1], [2, 1, 6, 12], [6, 13, 8, 2], [8, 2, 14, 1]], [[1, 7, 2, 11], [2, 1, 3, 3], [3, 12, 13, 1], [13, 2, 5, 7], [5, 1, 7, 10]], [[9, 11, 8, 5], [8, 3, 8, 14], [8, 1, 1, 13], [1, 7, 5, 6], [5, 10, 9, 9]], [[6, 5, 13, 6], [13, 14, 8, 14], [8, 13, 4, 1], [4, 6, 14, 3], [14, 9, 3, 6]]]
S-14-5-5-124-NR,0.14672350883483887,20290,[[[5, 9, 7, 1], [7, 1, 4, 4], [4, 3, 2, 7], [2, 1, 6, 4], [6, 7, 5, 3]], [[13, 1, 7, 4], [7, 4, 13, 14], [13, 7, 11, 6], [11, 4, 9, 5], [9, 3, 6, 13]], [[1, 4, 7, 3], [7, 14, 2, 8], [2, 6, 12, 9], [12, 5, 10, 11], [10, 13, 6, 12]], [[3, 3, 2, 7], [2, 8, 10, 9], [10, 9, 8, 13], [8, 11, 2, 10], [2, 12, 7, 8]], [[5, 7, 2, 14], [2, 9, 3, 7], [3, 13, 12, 1], [12, 10, 9, 9], [9, 8, 8, 10]]]
S-14-5-5-125-NR,0.1398017406463623,17785,[[[4, 4, 8, 9], [8, 14, 11, 14], [11, 13, 7, 11], [7, 10, 2, 13], [2, 5, 10, 5]], [[12, 9, 5, 3], [5, 14, 8, 3], [8, 11, 14, 8], [14, 13, 3, 1], [3, 5, 3, 5]], [[6, 3, 12, 10], [12, 3, 11, 9], [11, 8, 14, 7], [14, 1, 1, 10], [1, 5, 3, 11]], [[10, 10, 12, 13], [12, 9, 12, 3], [12, 7, 14, 3], [14, 10, 2, 1], [2, 11, 5, 7]], [[10, 13, 13, 11], [13, 3, 10, 1], [10, 3, 13, 2], [13, 1, 2, 12], [2, 7, 11, 3]]]
S-14-5-5-126-NR,0.6794779300689697,95201,[[[10, 1, 9, 3], [9, 10, 6, 4], [6, 10, 13, 8], [13, 8, 7, 1], [7, 4, 11, 7]], [[3, 3, 7, 13], [7, 4, 5, 8], [5, 8, 8, 9], [8, 1, 1, 13], [1, 7, 8, 11]], [[8, 13, 2, 5], [2, 8, 3, 4], [3, 9, 11, 4], [11, 13, 7, 7], [7, 11, 4, 4]], [[3, 5, 7, 1], [7, 4, 4, 13], [4, 4, 7, 4], [7, 7, 12, 1], [12, 4, 11, 9]], [[3, 1, 12, 11], [12, 13, 11, 8], [11, 4, 3, 2], [3, 1, 11, 12], [11, 9, 11, 5]]]
