S-2-3-3-32-NR,0.0005435943603515625,65,[[[1, 2, 1, 1], [1, 1, 1, 1], [1, 1, 2, 2]], [[2, 1, 1, 1], [1, 1, 2, 2], [2, 2, 2, 1]], [[2, 1, 2, 1], [2, 2, 2, 1], [2, 1, 1, 2]]]
S-2-3-3-33-NR,0.002023458480834961,112,[[[2, 1, 2, 2], [2, 2, 2, 1], [2, 2, 1, 2]], [[1, 2, 2, 2], [2, 1, 1, 1], [1, 2, 2, 2]], [[1, 2, 1, 2], [1, 1, 2, 2], [2, 2, 1, 1]]]
S-2-3-3-34-NR,0.00041675567626953125,21,[[[2, 1, 1, 1], [1, 1, 2, 1], [2, 1, 1, 2]], [[2, 1, 2, 2], [2, 1, 2, 1], [2, 2, 1, 1]], [[2, 2, 1, 2], [1, 1, 1, 1], [1, 1, 2, 2]]]
S-2-3-3-35-NR,0.002758502960205078,175,[[[2, 1, 1, 2], [1, 1, 2, 2], [2, 1, 1, 2]], [[1, 2, 1, 2], [1, 2, 2, 1], [2, 2, 2, 1]], [[1, 2, 1, 2], [1, 1, 2, 2], [2, 1, 1, 1]]]
S-2-3-3-36-NR,0.0003898143768310547,21,[[[1, 1, 2, 2], [2, 1, 1, 2], [1, 1, 2, 2]], [[2, 2, 1, 1], [1, 2, 2, 1], [2, 2, 1, 2]], [[2, 1, 1, 2], [1, 1, 2, 2], [2, 2, 2, 1]]]
S-2-3-3-37-NR,0.0002961158752441406,19,[[[1, 2, 1, 2], [1, 2, 1, 2], [1, 1, 1, 2]], [[2, 2, 2, 2], [2, 2, 1, 2], [1, 2, 1, 1]], [[1, 2, 2, 2], [2, 2, 1, 1], [1, 1, 1, 2]]]
S-2-3-3-38-NR,0.001064300537109375,90,[[[1, 2, 1, 1], [1, 2, 1, 2], [1, 1, 2, 1]], [[2, 1, 2, 2], [2, 2, 2, 2], [2, 1, 2, 1]], [[2, 2, 1, 2], [1, 2, 2, 2], [2, 1, 2, 2]]]
S-2-3-3-39-NR,0.0001976490020751953,15,[[[2, 2, 1, 1], [1, 2, 2, 1], [2, 1, 2, 2]], [[2, 1, 2, 2], [2, 1, 2, 1], [2, 2, 2, 1]], [[1, 2, 2, 2], [2, 1, 1, 1], [1, 1, 2, 2]]]
S-2-3-3-40-NR,0.0048961639404296875,593,[[[1, 1, 2, 1], [2, 2, 2, 2], [2, 2, 2, 1]], [[2, 1, 1, 1], [1, 2, 1, 2], [1, 1, 1, 1]], [[2, 1, 1, 2], [1, 2, 1, 2], [1, 1, 1, 1]]]
S-2-3-3-41-NR,0.0002155303955078125,24,[[[2, 1, 1, 1], [1, 2, 1, 2], [1, 1, 1, 2]], [[2, 1, 1, 1], [1, 2, 1, 1], [1, 2, 2, 2]], [[1, 1, 2, 1], [2, 1, 2, 2], [2, 2, 1, 1]]]
S-2-3-3-42-NR,0.001211404800415039,143,[[[2, 2, 1, 1], [1, 1, 1, 2], [1, 1, 1, 1]], [[1, 1, 1, 2], [1, 2, 1, 1], [1, 1, 2, 1]], [[1, 2, 2, 2], [2, 1, 2, 1], [2, 1, 1, 1]]]
S-2-3-3-43-NR,0.0002999305725097656,32,[[[1, 1, 2, 2], [2, 1, 1, 1], [1, 1, 2, 2]], [[2, 2, 2, 2], [2, 1, 1, 1], [1, 2, 2, 1]], [[1, 2, 2, 1], [2, 1, 1, 1], [1, 1, 2, 1]]]
S-2-3-3-44-NR,0.003252267837524414,344,[[[1, 1, 1, 1], [1, 2, 2, 1], [2, 2, 1, 2]], [[2, 1, 2, 2], [2, 1, 2, 2], [2, 2, 1, 1]], [[2, 2, 1, 2], [1, 2, 1, 1], [1, 1, 1, 1]]]
S-2-3-3-45-NR,0.007045745849609375,907,[[[2, 2, 1, 1], [1, 2, 1, 1], [1, 1, 2, 2]], [[2, 1, 1, 2], [1, 1, 2, 2], [2, 2, 2, 1]], [[2, 2, 2, 1], [2, 2, 1, 1], [1, 1, 1, 1]]]
