S-6-6-6-118-NR,1147.835331916809,123426491,[[[6, 6, 1, 2], [1, 2, 5, 2], [5, 3, 4, 3], [4, 1, 1, 5], [1, 6, 1, 5], [1, 3, 3, 6]], [[1, 2, 3, 3], [3, 2, 5, 4], [5, 3, 4, 1], [4, 5, 4, 2], [4, 5, 3, 6], [3, 6, 3, 6]], [[3, 3, 1, 4], [1, 4, 1, 4], [1, 1, 1, 1], [1, 2, 2, 2], [2, 6, 3, 4], [3, 6, 1, 2]], [[5, 4, 2, 2], [2, 4, 3, 3], [3, 1, 2, 1], [2, 2, 3, 5], [3, 4, 2, 2], [2, 2, 4, 6]], [[5, 2, 1, 2], [1, 3, 5, 5], [5, 1, 2, 6], [2, 5, 5, 3], [5, 2, 2, 2], [2, 6, 5, 5]], [[3, 2, 3, 5], [3, 5, 4, 5], [4, 6, 2, 2], [2, 3, 4, 5], [4, 2, 6, 6], [6, 5, 6, 5]]]
S-6-6-6-10-NR,1032.7361690998077,110891542,[[[5, 1, 3, 4], [3, 4, 4, 3], [4, 4, 6, 3], [6, 5, 4, 2], [4, 1, 6, 3], [6, 2, 4, 6]], [[4, 4, 3, 2], [3, 3, 4, 2], [4, 3, 4, 5], [4, 2, 4, 1], [4, 3, 5, 1], [5, 6, 3, 2]], [[6, 2, 2, 2], [2, 2, 3, 5], [3, 5, 3, 2], [3, 1, 3, 6], [3, 1, 5, 4], [5, 2, 2, 4]], [[1, 2, 4, 1], [4, 5, 6, 5], [6, 2, 3, 5], [3, 6, 2, 2], [2, 4, 4, 2], [4, 4, 5, 1]], [[4, 1, 1, 4], [1, 5, 3, 5], [3, 5, 6, 1], [6, 2, 5, 1], [5, 2, 2, 4], [2, 1, 3, 5]], [[1, 4, 3, 2], [3, 5, 5, 6], [5, 1, 2, 3], [2, 1, 1, 1], [1, 4, 1, 4], [1, 5, 2, 5]]]
S-6-6-6-119-NR,735.518568277359,92111597,[[[3, 2, 6, 1], [6, 6, 6, 6], [6, 5, 3, 2], [3, 6, 2, 4], [2, 5, 1, 5], [1, 4, 1, 5]], [[1, 1, 6, 4], [6, 6, 4, 1], [4, 2, 1, 2], [1, 4, 2, 4], [2, 5, 4, 4], [4, 5, 4, 5]], [[6, 4, 5, 5], [5, 1, 5, 2], [5, 2, 1, 1], [1, 4, 2, 6], [2, 4, 1, 2], [1, 5, 2, 5]], [[2, 5, 2, 3], [2, 2, 4, 3], [4, 1, 4, 5], [4, 6, 3, 2], [3, 2, 5, 5], [5, 5, 3, 2]], [[3, 3, 6, 2], [6, 3, 4, 6], [4, 5, 2, 4], [2, 2, 3, 5], [3, 5, 6, 1], [6, 2, 2, 1]], [[4, 2, 4, 5], [4, 6, 4, 1], [4, 4, 1, 4], [1, 5, 1, 6], [1, 1, 3, 3], [3, 1, 4, 6]]]
S-6-6-6-120-NR,1344.8264236450195,144231396,[[[5, 3, 3, 3], [3, 2, 3, 2], [3, 6, 2, 5], [2, 6, 5, 6], [5, 5, 1, 4], [1, 6, 4, 2]], [[1, 3, 2, 6], [2, 2, 1, 1], [1, 5, 1, 4], [1, 6, 4, 4], [4, 4, 6, 5], [6, 2, 3, 4]], [[2, 6, 4, 5], [4, 1, 6, 4], [6, 4, 1, 1], [1, 4, 1, 4], [1, 5, 3, 6], [3, 4, 2, 3]], [[3, 5, 6, 6], [6, 4, 5, 2], [5, 1, 2, 4], [2, 4, 4, 5], [4, 6, 3, 4], [3, 3, 6, 3]], [[3, 6, 3, 6], [3, 2, 4, 3], [4, 4, 3, 6], [3, 5, 4, 3], [4, 4, 5, 5], [5, 3, 3, 2]], [[6, 6, 1, 2], [1, 3, 3, 1], [3, 6, 5, 6], [5, 3, 2, 6], [2, 5, 5, 3], [5, 2, 3, 3]]]
S-6-6-6-121-NR,1308.1495597362518,139359811,[[[1, 2, 4, 5], [4, 5, 2, 2], [2, 4, 3, 2], [3, 6, 4, 1], [4, 2, 3, 2], [3, 5, 5, 6]], [[2, 5, 4, 5], [4, 2, 4, 2], [4, 2, 6, 3], [6, 1, 1, 4], [1, 2, 1, 2], [1, 6, 3, 3]], [[3, 5, 4, 3], [4, 2, 3, 6], [3, 3, 5, 5], [5, 4, 1, 5], [1, 2, 2, 1], [2, 3, 2, 6]], [[6, 3, 3, 4], [3, 6, 5, 1], [5, 5, 5, 2], [5, 5, 2, 6], [2, 1, 2, 1], [2, 6, 4, 2]], [[1, 4, 6, 4], [6, 1, 2, 4], [2, 2, 5, 5], [5, 6, 6, 1], [6, 1, 1, 2], [1, 2, 6, 2]], [[6, 4, 2, 5], [2, 4, 5, 4], [5, 5, 2, 2], [2, 1, 6, 1], [6, 2, 2, 4], [2, 2, 4, 3]]]
S-6-6-6-122-NR,1418.2291741371155,151168943,[[[5, 2, 3, 3], [3, 5, 4, 1], [4, 3, 4, 1], [4, 1, 5, 6], [5, 6, 4, 5], [4, 3, 2, 1]], [[4, 3, 5, 5], [5, 1, 4, 3], [4, 1, 3, 5], [3, 6, 1, 5], [1, 5, 3, 4], [3, 1, 6, 4]], [[6, 5, 2, 6], [2, 3, 3, 4], [3, 5, 1, 4], [1, 5, 1, 5], [1, 4, 1, 1], [1, 4, 6, 2]], [[2, 6, 4, 4], [4, 4, 3, 3], [3, 4, 4, 5], [4, 5, 2, 1], [2, 1, 6, 2], [6, 2, 1, 5]], [[3, 4, 3, 4], [3, 3, 1, 4], [1, 5, 3, 5], [3, 1, 6, 1], [6, 2, 2, 1], [2, 5, 4, 4]], [[6, 4, 6, 2], [6, 4, 1, 5], [1, 5, 3, 4], [3, 1, 6, 4], [6, 1, 1, 6], [1, 4, 5, 2]]]
slurmstepd: error: *** JOB 12943190 ON cdr1218 CANCELLED AT 2018-10-30T01:38:40 DUE TO TIME LIMIT ***
slurmstepd: error: *** JOB 12943191 ON cdr1218 CANCELLED AT 2018-10-30T01:38:40 DUE TO TIME LIMIT ***
S-6-6-6-125-NR,772.1199371814728,83237598,[[[2, 2, 3, 3], [3, 5, 2, 4], [2, 3, 2, 4], [2, 5, 2, 1], [2, 6, 3, 6], [3, 2, 3, 5]], [[2, 3, 6, 5], [6, 4, 4, 1], [4, 4, 5, 6], [5, 1, 6, 6], [6, 6, 2, 2], [2, 5, 5, 1]], [[3, 5, 1, 4], [1, 1, 5, 1], [5, 6, 4, 4], [4, 6, 6, 5], [6, 2, 1, 4], [1, 1, 5, 2]], [[6, 4, 5, 1], [5, 1, 6, 3], [6, 4, 5, 6], [5, 5, 4, 2], [4, 4, 1, 4], [1, 2, 1, 5]], [[1, 1, 2, 6], [2, 3, 3, 6], [3, 6, 4, 5], [4, 2, 2, 4], [2, 4, 5, 6], [5, 5, 6, 5]], [[6, 6, 3, 2], [3, 6, 6, 4], [6, 5, 4, 5], [4, 4, 5, 6], [5, 6, 5, 4], [5, 5, 6, 1]]]
S-6-6-6-126-NR,1498.9981276988983,159758801,[[[5, 1, 4, 4], [4, 5, 1, 4], [1, 5, 4, 3], [4, 4, 4, 4], [4, 2, 5, 1], [5, 6, 2, 6]], [[4, 4, 1, 3], [1, 4, 2, 2], [2, 3, 6, 2], [6, 4, 4, 4], [4, 1, 2, 4], [2, 6, 4, 1]], [[2, 3, 2, 4], [2, 2, 2, 6], [2, 2, 1, 5], [1, 4, 6, 6], [6, 4, 2, 6], [2, 1, 2, 2]], [[6, 4, 2, 4], [2, 6, 6, 1], [6, 5, 5, 6], [5, 6, 3, 6], [3, 6, 1, 2], [1, 2, 2, 4]], [[6, 4, 5, 3], [5, 1, 4, 4], [4, 6, 4, 6], [4, 6, 5, 3], [5, 2, 6, 1], [6, 4, 4, 3]], [[1, 3, 6, 6], [6, 4, 1, 6], [1, 6, 4, 3], [4, 3, 6, 5], [6, 1, 6, 2], [6, 3, 3, 2]]]
